pipeline_name,run_id,decode_s,preprocess_s,inference_s,postprocess_s,total_s,frames_processed,fps,error
PyNvVideoCodec 2.1,7,1.4685816038399935,0.10505114123225212,0.851746216416359,0.009939054027199745,2.4356625359505415,1024,420.4194895169966,
PyNvVideoCodec 2.1,8,1.4685816038399935,0.10511413589119911,0.8512847777456045,0.009920718148350716,2.4352534525096416,1024,420.49011323430034,
PyNvVideoCodec 2.1,9,1.4685816038399935,0.10509786009788513,0.8516871333122253,0.009922578930854797,2.4356248807162046,1024,420.42598928406784,
PyNvVideoCodec + CV-CUDA,0,0.0,0.0,0.0,0.0,0.0,0,0.0,NVCV_ERROR_INVALID_ARGUMENT: Input or output tensors are too large
PyNvVideoCodec + CV-CUDA,1,0.0,0.0,0.0,0.0,0.0,0,0.0,NVCV_ERROR_INVALID_ARGUMENT: Input or output tensors are too large
PyNvVideoCodec + CV-CUDA,2,0.0,0.0,0.0,0.0,0.0,0,0.0,NVCV_ERROR_INVALID_ARGUMENT: Input or output tensors are too large
PyNvVideoCodec + CV-CUDA,3,0.0,0.0,0.0,0.0,0.0,0,0.0,NVCV_ERROR_INVALID_ARGUMENT: Input or output tensors are too large
PyNvVideoCodec + CV-CUDA,4,0.0,0.0,0.0,0.0,0.0,0,0.0,NVCV_ERROR_INVALID_ARGUMENT: Input or output tensors are too large
PyNvVideoCodec + CV-CUDA,5,0.0,0.0,0.0,0.0,0.0,0,0.0,NVCV_ERROR_INVALID_ARGUMENT: Input or output tensors are too large
PyNvVideoCodec + CV-CUDA,6,0.0,0.0,0.0,0.0,0.0,0,0.0,NVCV_ERROR_INVALID_ARGUMENT: Input or output tensors are too large
PyNvVideoCodec + CV-CUDA,7,0.0,0.0,0.0,0.0,0.0,0,0.0,NVCV_ERROR_INVALID_ARGUMENT: Input or output tensors are too large
PyNvVideoCodec + CV-CUDA,8,0.0,0.0,0.0,0.0,0.0,0,0.0,NVCV_ERROR_INVALID_ARGUMENT: Input or output tensors are too large
PyNvVideoCodec + CV-CUDA,9,0.0,0.0,0.0,0.0,0.0,0,0.0,NVCV_ERROR_INVALID_ARGUMENT: Input or output tensors are too large
